regime,horizon,metric,metric_column,mean_standard,mean_va_diff,mean_delta_va_minus_standard,std_delta,median_delta,mean_percentage_improvement,va_wins,n_seeds,comparison_direction
Low,1,CRPS,crps,0.0027049557330157997,0.00269791407101624,-7.041661999560022e-06,1.1005590753949994e-05,-1.6754945349997837e-06,0.2595396140426522,3,5,lower_is_better
Low,1,MAE,median_mae,0.00359160704950846,0.0035852983485484603,-6.308700959999948e-06,2.040801401413122e-05,2.8763512400012403e-08,0.1736608439157314,2,5,lower_is_better
Low,1,RMSE,median_rmse,0.00555047381482338,0.0055475928252278,-2.880989595579857e-06,1.7170925588423828e-05,4.34225777430023e-06,0.05156676247845009,2,5,lower_is_better
Low,1,PICP90,picp,0.8727358937885252,0.8754860123281176,0.002750118539592239,0.01880316779827318,0.00537379484747913,-27.348118007959034,3,5,closer_to_0.90_is_better
Low,1,interval_width,interval_width,0.013649245101634799,0.0136581195293135,8.874427678700128e-06,0.0010801286345900004,0.000335969015877801,-0.47947172670888055,2,5,lower_is_better
Low,6,CRPS,crps,0.00286011478105646,0.0028552500580933597,-4.864722963099973e-06,2.694564704087137e-05,-1.400308915600057e-06,0.16451486042313473,3,5,lower_is_better
Low,6,MAE,median_mae,0.00375728706639724,0.00375264667825684,-4.640388140399968e-06,4.892699178886177e-05,-5.121424557399945e-06,0.11341659004097959,3,5,lower_is_better
Low,6,RMSE,median_rmse,0.00579631768645306,0.0057945164323758005,-1.8012540772598119e-06,3.387709040426678e-05,-6.682997707199885e-06,0.02989807130913975,3,5,lower_is_better
Low,6,PICP90,picp,0.8747465145754119,0.8727186311787072,-0.0020278833967047214,0.007252664141568501,0.0012674271229403677,-9.0377783436284,3,5,closer_to_0.90_is_better
Low,6,interval_width,interval_width,0.01452666849905054,0.014346185977961579,-0.00018048252108896038,0.0003941162322627582,-0.00022928478489039894,1.2228515508163031,3,5,lower_is_better
Low,24,CRPS,crps,0.00304925317885812,0.0030593888798977403,1.013570103962011e-05,4.039403780552487e-05,-6.536380861599765e-06,-0.33087406706333683,3,5,lower_is_better
Low,24,MAE,median_mae,0.0039904586258686404,0.0040183425408401,2.788391497145961e-05,7.831322383547829e-05,-2.9730225059006535e-06,-0.6972044041330673,3,5,lower_is_better
Low,24,RMSE,median_rmse,0.00608783727883634,0.006104931582230499,1.7094303394159933e-05,5.218229539324428e-05,-3.7942861936006086e-06,-0.28031070504385963,3,5,lower_is_better
Low,24,PICP90,picp,0.8951196172248803,0.8876236044657098,-0.0074960127591706446,0.007545899357054931,-0.006858054226475341,-315.9537618892411,1,5,closer_to_0.90_is_better
Low,24,interval_width,interval_width,0.017188306129199922,0.016756477364161002,-0.0004318287650389198,0.0004747985618772875,-0.0004651819000339001,2.490587946910337,4,5,lower_is_better
Medium,1,CRPS,crps,0.00383101831598276,0.00382999865309012,-1.0196628926400185e-06,7.390354122149284e-06,3.6332332474997217e-06,0.02635551262141824,2,5,lower_is_better
Medium,1,MAE,median_mae,0.0051336036943969,0.0051328328410781806,-7.708533187199621e-07,9.076754165482225e-06,-1.3540986520000492e-06,0.01494222610803469,3,5,lower_is_better
Medium,1,RMSE,median_rmse,0.007553111367921301,0.00755504593418854,1.9345662672400066e-06,1.2180362516133359e-05,6.128565849800385e-06,-0.025692735575978908,2,5,lower_is_better
Medium,1,PICP90,picp,0.8406869220607662,0.8447631628609171,0.0040762408001509655,0.017151055262546375,0.010379316852236253,4.235620029860835,3,5,closer_to_0.90_is_better
Medium,1,interval_width,interval_width,0.017494046084117358,0.017780262122543543,0.0002862160384261798,0.000978381685674219,0.0004273858364878015,-1.7443175847531052,1,5,lower_is_better
Medium,6,CRPS,crps,0.00388627137615854,0.0038840596220000197,-2.2117541585200614e-06,1.140050601901267e-05,4.916549344998952e-07,0.05672700102703008,2,5,lower_is_better
Medium,6,MAE,median_mae,0.00513801813591596,0.00513679142288684,-1.2267130291199538e-06,1.8017872582530768e-05,1.2450093812002225e-06,0.02311057752038633,2,5,lower_is_better
Medium,6,RMSE,median_rmse,0.00780249961990284,0.00780201717039664,-4.824495061998835e-07,1.2017633310031831e-05,-1.4065909799999832e-06,0.006133015893487415,3,5,lower_is_better
Medium,6,PICP90,picp,0.8430269862238159,0.8479713153425175,0.004944329118701685,0.008292079911522825,0.00490658614832995,7.962020896292775,4,5,closer_to_0.90_is_better
Medium,6,interval_width,interval_width,0.01811423079828766,0.01837837945238056,0.00026414865409290085,0.0004586835292197698,0.0003358263563821018,-1.4842121638960015,1,5,lower_is_better
Medium,24,CRPS,crps,0.0039000987061847806,0.003912261625486339,1.2162919301560074e-05,1.6923999561847603e-05,6.621932241600379e-06,-0.31221947162600455,0,5,lower_is_better
