seed,model,split,horizon,target_step,regime,nominal_coverage,n,crps,picp,interval_width,median_mae,median_rmse,predictive_std,predictive_iqr
3407,va_diff,test,1,1,Medium,0.9,5299,0.0038361447172665713,0.825250047178713,0.016664708128245467,0.005121989570298023,0.007569712873043548,0.005258685648909377,0.006728991347961004
3407,va_diff,test,1,1,High,0.9,2069,0.005351156082595606,0.8303528274528758,0.02444193315793075,0.007194191879078782,0.010721772308244622,0.007710898071445347,0.009605320085221771
3407,va_diff,test,6,6,Low,0.9,6312,0.0028641382252845397,0.877851711026616,0.014665856006413538,0.003761932801042126,0.0058059203487179035,0.0045948692790974315,0.006077287102329234
3407,va_diff,test,6,6,Medium,0.9,5299,0.0038934703836067254,0.8505378373277978,0.01857866942684814,0.0051389400230754025,0.007807110986940504,0.005835739309283373,0.007634708992071482
3407,va_diff,test,6,6,High,0.9,2069,0.00504028791542399,0.8704688255195747,0.02666248257080414,0.006721501470934521,0.009778120830419438,0.00839047419838061,0.01089629182341536
3407,va_diff,test,24,24,Low,0.9,6270,0.0030553825427705734,0.8950558213716109,0.017181752421473566,0.004002158814941114,0.006091042227485414,0.00537453967885465,0.007154955130009734
3407,va_diff,test,24,24,Medium,0.9,5287,0.003912426446830364,0.8770569320975978,0.020492709706812575,0.005141568708564151,0.007966224595809038,0.006408882098135335,0.008517994816739552
3407,va_diff,test,24,24,High,0.9,2069,0.004649371976991922,0.9091348477525375,0.028816516362520004,0.006125132934119427,0.008916914728174845,0.009019929146482522,0.011967457240417468
7777,standard_diffusion,test,1,1,Low,0.9,6327,0.0027003905259108526,0.892998261419314,0.014873058005182804,0.003584764117285946,0.005549430662728419,0.004643900616520444,0.0061660779267198075
7777,standard_diffusion,test,1,1,Medium,0.9,5299,0.003822517236743938,0.8614832987356105,0.018760677559849084,0.00514015291538323,0.007553284304152713,0.005861304914518412,0.0077731499312203465
7777,standard_diffusion,test,1,1,High,0.9,2069,0.005353102147690791,0.8593523441275979,0.027041141720512973,0.0072027763353502755,0.010740449895836949,0.008465241095899731,0.011253022393052488
7777,standard_diffusion,test,6,6,Low,0.9,6312,0.0028585288165626204,0.8773764258555133,0.014607997203661623,0.0037493565490502086,0.005805127638751931,0.004578912010739703,0.006000251852288941
7777,standard_diffusion,test,6,6,Medium,0.9,5299,0.003889435811601245,0.8492168333647858,0.018428056938977075,0.005140536695833392,0.0078074489511591036,0.0057937056044093235,0.007502680974239354
7777,standard_diffusion,test,6,6,High,0.9,2069,0.005027630789653414,0.861285645239246,0.02674590686535118,0.0067343386689888134,0.009842436912493943,0.00846848348320258,0.01077808135263894
7777,standard_diffusion,test,24,24,Low,0.9,6270,0.003051348765716104,0.8982456140350877,0.017420643424690272,0.003988191610774389,0.006086736604203747,0.005446274732114963,0.0072709179173058285
7777,standard_diffusion,test,24,24,Medium,0.9,5287,0.0039037035002859144,0.8660866275770759,0.01965591399230208,0.005124042222982879,0.007965627781848051,0.006151639152598559,0.008184606271906971
7777,standard_diffusion,test,24,24,High,0.9,2069,0.004616380380379733,0.8989850169163848,0.02757505065179261,0.006107473201067752,0.008921658258330177,0.008632379424026728,0.01151820636977144
7777,va_diff,test,1,1,Low,0.9,6327,0.0027006946203821476,0.8884147305199936,0.01439425734088728,0.0035934800477378666,0.005556771766898076,0.004493215433384597,0.005973945595025687
7777,va_diff,test,1,1,Medium,0.9,5299,0.0038261504699914346,0.8614832987356105,0.0188487524051672,0.005143142826982268,0.0075598809726826,0.0058868185934373195,0.00782326103291485
7777,va_diff,test,1,1,High,0.9,2069,0.005362413493903153,0.8670855485741904,0.02753851494619982,0.007207140665017911,0.010731245529920956,0.008616196457129018,0.011496947762830842
7777,va_diff,test,6,6,Low,0.9,6312,0.0028773076692960886,0.8711977186311787,0.014336639579319639,0.003791566959564622,0.005836490420603737,0.004496481449521617,0.005884776627967727
7777,va_diff,test,6,6,Medium,0.9,5299,0.0038966698042083724,0.8531798452538215,0.018763883295359142,0.005156488732574676,0.007821193234772424,0.005916323766459653,0.007609020517928868
7777,va_diff,test,6,6,High,0.9,2069,0.005031993425008186,0.8690188496858385,0.027181345043303745,0.006735074944891178,0.00984349009310112,0.00862807237376599,0.010889691049797994
7777,va_diff,test,24,24,Low,0.9,6270,0.0030385667749248434,0.8848484848484849,0.016353392959019077,0.003985218588268456,0.006088454903501948,0.005114532598635546,0.0068254184546225755
7777,va_diff,test,24,24,Medium,0.9,5287,0.0039132291369159316,0.8606014753168149,0.019137884048875037,0.005137480212521508,0.007987648367664326,0.0059868881756205625,0.007959314586192806
7777,va_diff,test,24,24,High,0.9,2069,0.0046417110455819555,0.8965683905268246,0.02771807594974055,0.0061422428380061315,0.00894983652717247,0.008679101562081903,0.0115584284801783
