seed,model,split,horizon,target_step,regime,nominal_coverage,n,crps,picp,interval_width,median_mae,median_rmse,predictive_std,predictive_iqr
42,standard_diffusion,test,1,1,Overall,0.9,13695,0.003544402826754767,0.8332238043081417,0.01571219221615617,0.004737710644816351,0.007325018184110211,0.005005759442789901,0.006268892066473983
42,standard_diffusion,test,6,6,Overall,0.9,13680,0.003578115607060949,0.8624269005847953,0.017815602442739144,0.004735527922321042,0.007331496008809751,0.0056027691457983435,0.007252043727350068
42,standard_diffusion,test,24,24,Overall,0.9,13626,0.003615553632981705,0.8884485542345516,0.01986174085144503,0.00474975957377848,0.007347062391506817,0.006209728346133138,0.008238270257225535
42,va_diff,test,1,1,Overall,0.9,13695,0.0035326516034371942,0.8438846294267981,0.01608770863011761,0.004720319651291924,0.007309950510583054,0.005051828179625952,0.006574526465660516
42,va_diff,test,6,6,Overall,0.9,13680,0.0035774410163802164,0.8521929824561404,0.017179437505047426,0.004736827364705328,0.0073289407544416705,0.005444571536978996,0.006913489000743278
42,va_diff,test,24,24,Overall,0.9,13626,0.003613981966244671,0.8850726552179656,0.019722745076322736,0.004750877827269857,0.007343823414625499,0.006166351560325874,0.008173406562520004
123,standard_diffusion,test,1,1,Overall,0.9,13695,0.0035486061900073633,0.8357064622124863,0.015761986099558093,0.004739724249425688,0.007356885955831524,0.0050820113515047515,0.006243527752898343
123,standard_diffusion,test,6,6,Overall,0.9,13680,0.0036124770963181043,0.8611842105263158,0.017865182675500548,0.004791480368857586,0.007347943622258267,0.005590376416453075,0.007433231202620664
123,standard_diffusion,test,24,24,Overall,0.9,13626,0.0036191488860882128,0.8874944958168208,0.019788517936601517,0.00474727204707692,0.007325213323986681,0.006189891471384291,0.008227307035994157
123,va_diff,test,1,1,Overall,0.9,13695,0.0035393210766939045,0.8531580868930266,0.016748620920153057,0.004733140573903374,0.007341245839009941,0.005342411696081837,0.006662940513995569
123,va_diff,test,6,6,Overall,0.9,13680,0.0035809949062544687,0.8660087719298246,0.01790499806845607,0.004739125126282874,0.007321979702427797,0.005603827821764188,0.007444063015647016
123,va_diff,test,24,24,Overall,0.9,13626,0.0036774446107524397,0.8808894760017614,0.019837338685918537,0.0048556726361719624,0.007387819733140071,0.006204733030377413,0.008249344586889638
2024,standard_diffusion,test,1,1,Overall,0.9,13695,0.003534125712846149,0.8687842278203723,0.017595048066495207,0.004724908910741685,0.007320618924176959,0.005496921184272671,0.007320231561617842
2024,standard_diffusion,test,6,6,Overall,0.9,13680,0.0035711853137188228,0.8527777777777777,0.017035521641133654,0.004718156726902032,0.007316064475616881,0.005393706033972264,0.006843234442912519
2024,standard_diffusion,test,24,24,Overall,0.9,13626,0.0036160858440424932,0.8878614413621019,0.01990234109446074,0.0047458551936075954,0.007321552599411785,0.0062279569425850445,0.008268986477350127
2024,va_diff,test,1,1,Overall,0.9,13695,0.0035387273838787783,0.8795180722891566,0.018407363460805366,0.00473066338910736,0.007321179714565945,0.005750184826009922,0.007660821685081704
2024,va_diff,test,6,6,Overall,0.9,13680,0.0035703823502506718,0.8625730994152047,0.01774542621075964,0.0047181916123186386,0.007313745341582359,0.005578121100158279,0.0072526415149631995
2024,va_diff,test,24,24,Overall,0.9,13626,0.0036153238491020236,0.8877880522530457,0.019886302324155114,0.004741750463639716,0.00732459573277033,0.006221496339828374,0.008258692847019085
3407,standard_diffusion,test,1,1,Overall,0.9,13695,0.003538324681568912,0.86688572471705,0.017466766620771436,0.004732827523071511,0.007322580497198297,0.005459506747230835,0.0072638718205028175
3407,standard_diffusion,test,6,6,Overall,0.9,13680,0.0035824764290333885,0.8628654970760234,0.01784214262451724,0.0047281403756586566,0.007312981876426686,0.005593236372850821,0.007353991450111219
3407,standard_diffusion,test,24,24,Overall,0.9,13626,0.003621676065087082,0.8851460443270218,0.01974311017400442,0.004765449020377266,0.007342336762991047,0.0061733980756087155,0.008197226595511274
3407,va_diff,test,1,1,Overall,0.9,13695,0.0035361690116361756,0.8427163198247536,0.015986028256574993,0.004723648208146231,0.007333791891403706,0.005039678372701527,0.006453576415271412
3407,va_diff,test,6,6,Overall,0.9,13680,0.0035919806825833547,0.866154970760234,0.01799590123131172,0.004742934909782016,0.007322805119159255,0.0056495825004389665,0.0074093996287671994
3407,va_diff,test,24,24,Overall,0.9,13626,0.003629957271977096,0.8902098928519008,0.02023307766450985,0.0047666159968114295,0.0073326923707913595,0.006329396509858543,0.008414565998215676
7777,standard_diffusion,test,1,1,Overall,0.9,13695,0.00353533830146158,0.8757210660825119,0.018215610851272233,0.004733188543740317,0.00733011668426902,0.005692267088001055,0.007556422041556658
7777,standard_diffusion,test,6,6,Overall,0.9,13680,0.003585915377164559,0.8640350877192983,0.0179234819717517,0.004739692192614321,0.0073356750117172746,0.005637736179554103,0.007304835269938019
7777,standard_diffusion,test,24,24,Overall,0.9,13626,0.0036197070434505554,0.885879935417584,0.019829812956749453,0.004750707080983053,0.007331671680599107,0.0062037466460047475,0.008270353565252958
7777,va_diff,test,1,1,Overall,0.9,13695,0.0035382913269461904,0.8747718145308506,0.01810362852241418,0.004739031481426694,0.007333279991452454,0.005655329408064889,0.007523899154029962
7777,va_diff,test,6,6,Overall,0.9,13680,0.0035980419369472964,0.8638888888888889,0.01799421706881353,0.004765458662548607,0.007353022070293213,0.005671335693652922,0.007309625773557706
7777,va_diff,test,24,24,Overall,0.9,13626,0.0036213676999091718,0.8772200205489505,0.019159435341220103,0.004759832589452453,0.007346823091449744,0.005994265250983286,0.007984049497517527
